"Freq.","Gain","Phase","Group Delay"
"251233.8","11.89745","-351.352243217342","9.661066E-08"
"254297","11.89769","-351.456239303401","9.430298E-08"
"257397.7","11.89792","-351.558988857504","9.205047E-08"
"260536.1","11.89815","-351.660505761967","8.985045E-08"
"263712.8","11.89837","-351.760806362337","8.770501E-08"
"266928.3","11.89859","-351.859903419645","8.560875E-08"
"270182.9","11.89881","-351.957812580156","8.356332E-08"
"273477.3","11.89902","-352.0545469196","8.156601E-08"
"276811.8","11.89922","-352.150121383577","7.961752E-08"
"280186.9","11.89942","-352.244549065321","7.771466E-08"
"283603.3","11.89962","-352.337844208702","7.585757E-08"
"287061.2","11.89981","-352.430019499935","7.404419E-08"
"290561.3","11.89999","-352.52108875583","7.227461E-08"
"294104.2","11.90017","-352.611065968429","7.054754E-08"
"297690.2","11.90035","-352.699962556265","6.886084E-08"
"301319.9","11.90052","-352.787792654002","6.721469E-08"
"304993.9","11.90069","-352.874568689318","6.560821E-08"
"308712.7","11.90086","-352.96030252508","6.403967E-08"
"312476.8","11.90102","-353.04500674952","6.250842E-08"
"316286.8","11.90118","-353.128694528637","6.101421E-08"
"320143.3","11.90133","-353.211378020694","5.955565E-08"
"324046.8","11.90148","-353.293067693144","5.813136E-08"
"327997.9","11.90163","-353.373776859027","5.674179E-08"
"331997.2","11.90178","-353.453516568291","5.538475E-08"
"336045.3","11.90191","-353.532298282616","5.406038E-08"
"340142.7","11.90205","-353.610134205614","5.276775E-08"
"344290","11.90219","-353.687035384812","5.150592E-08"
"348488","11.90232","-353.763012023456","5.027379E-08"
"352737.1","11.90244","-353.838077041299","4.907221E-08"
"357038","11.90257","-353.91223893495","4.789776E-08"
"361391.4","11.90269","-353.985510485883","4.675271E-08"
